max_net_adj,impact_col,min_starts,min_absences,conf_floor,swing_threshold,matches,base_correct,adj_correct,base_acc,adj_acc,delta,swings,swing_correct,swing_wrong,swing_acc,matches_with_adj,direction_correct,direction_rate
0.03,weighted_impact,5,2,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,956,447,0.4675732217573222
0.03,weighted_impact,5,2,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,956,447,0.4675732217573222
0.03,weighted_impact,5,2,0.0,0.1,1137,792,789,0.6965699208443272,0.6939313984168866,-3,21,9,12,0.42857142857142855,956,447,0.4675732217573222
0.03,weighted_impact,5,2,0.0,0.15,1137,792,789,0.6965699208443272,0.6939313984168866,-3,21,9,12,0.42857142857142855,956,447,0.4675732217573222
0.03,weighted_impact,5,2,0.0,0.2,1137,792,789,0.6965699208443272,0.6939313984168866,-3,21,9,12,0.42857142857142855,956,447,0.4675732217573222
0.03,weighted_impact,5,2,0.0,0.3,1137,792,789,0.6965699208443272,0.6939313984168866,-3,21,9,12,0.42857142857142855,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.1,1137,792,790,0.6965699208443272,0.6948109058927001,-2,34,16,18,0.47058823529411764,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.15,1137,792,790,0.6965699208443272,0.6948109058927001,-2,34,16,18,0.47058823529411764,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.2,1137,792,790,0.6965699208443272,0.6948109058927001,-2,34,16,18,0.47058823529411764,956,447,0.4675732217573222
0.05,weighted_impact,5,2,0.0,0.3,1137,792,790,0.6965699208443272,0.6948109058927001,-2,34,16,18,0.47058823529411764,956,447,0.4675732217573222
0.075,weighted_impact,5,2,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,956,447,0.4675732217573222
0.075,weighted_impact,5,2,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,956,447,0.4675732217573222
0.075,weighted_impact,5,2,0.0,0.1,1137,792,790,0.6965699208443272,0.6948109058927001,-2,34,16,18,0.47058823529411764,956,447,0.4675732217573222
0.075,weighted_impact,5,2,0.0,0.15,1137,792,793,0.6965699208443272,0.6974494283201407,1,59,30,29,0.5084745762711864,956,447,0.4675732217573222
0.075,weighted_impact,5,2,0.0,0.2,1137,792,793,0.6965699208443272,0.6974494283201407,1,59,30,29,0.5084745762711864,956,447,0.4675732217573222
