feature,is_team_stat,mean_importance,mean_rank,min_rank,max_rank
odds_away_prob,False,3.801470293164083,1.25,1,3
odds_home_prob,False,3.2088875842124773,2.5,1,5
lineup_stability_diff,False,2.926410917938427,3.375,2,4
spread_home_close,False,2.63210101494342,3.75,2,7
odds_home_favourite,False,2.1062081686305993,12.625,4,47
home_lineup_stability,False,1.8711643451486069,14.625,3,31
odds_home_open_prob,False,1.4655807907434617,9.25,5,13
away_lineup_stability,False,1.4164934768971635,35.375,5,157
implied_draw_prob,False,1.3307822299831786,13.0,7,30
odds_home_range,False,1.3212792795796477,10.375,7,17
odds_movement,False,1.2608563037563074,13.0,6,28
odds_away_open_prob,False,1.2509639187081394,11.25,5,18
ts_diff_kick_return_metres_average,True,1.2276392904232027,29.625,5,95
draw_competitiveness,False,1.1856838435243073,36.875,6,145
odds_home_range_close,False,0.9857889739174877,14.375,11,19
elo_diff_sq,False,0.7803024578932454,22.625,10,40
odds_spread_disagree_mag,False,0.7320212008126068,48.5,13,167
odds_elo_diff,False,0.6976785037827659,25.5,11,39
home_pf_std_8,False,0.6710723899675428,41.0,11,91
home_away_pag,False,0.6659148960891077,57.25,5,121
home_pf_trend_8,False,0.6310068174029043,42.25,17,126
away_pf_std_8,False,0.6102680748731437,70.75,9,134
spread_movement,False,0.6083306760204554,46.25,8,129
home_avg_pa_8,False,0.6049780841005306,54.0,17,158
odds_elo_abs_diff,False,0.572476424685391,41.625,23,103
spread_home_open,False,0.5693496914231495,51.875,16,102
home_elo_prob,False,0.5630733631205975,43.0,20,87
odds_away_range,False,0.543517226348222,50.125,17,133
ts_diff_tackles_average,True,0.5369307128817327,51.5,12,89
home_ts_possession_pct_average,True,0.5314883567680475,48.375,11,110
ts_diff_supports_average,True,0.5260722922007378,55.25,18,133
elo_diff,False,0.5222097330772634,58.875,17,136
elo_diff_x_progress,False,0.5076586248482998,66.0,12,115
odds_away_range_close,False,0.48862557235114473,85.375,15,172
home_venue_win_rate,False,0.4870364622134228,61.5,16,178
elo_diff_abs,False,0.4827890291280329,66.375,17,164
home_home_ppg,False,0.47688027535565086,64.125,21,108
ts_diff_all_runs_average,True,0.4747664196424486,83.0,14,227
home_close_game_rate_5,False,0.46403983821275896,85.875,19,184
ts_diff_all_run_metres_average,True,0.45592054042105906,74.75,10,216
month,False,0.4489780380503944,67.25,25,143
away_wins,False,0.4471010194800605,77.25,18,130
away_home_ppg,False,0.43982245801972475,65.0,38,112
home_ts_kick_return_metres_average,True,0.43821923487688663,79.625,28,197
away_team_away_ppg,False,0.4345688477726273,70.75,16,125
ts_diff_post_contact_metres_average,True,0.4336114307669005,78.125,28,169
ts_diff_missed_tackles_average,True,0.43163323038727625,82.5,24,167
away_home_pag,False,0.4293921316979542,75.375,32,165
