Model,Accuracy,Log Loss,Brier,AUC
Raw-OptBlend All7+Odds,0.6752886777050131,0.597072181425751,0.2058006234779217,0.724677879895477
Raw-OptBlend All9+Odds,0.6758052301226869,0.5971773843510721,0.20578558247833623,0.7252459380488419
Cal-OptBlend All9+Odds,0.6784406596516379,0.5974272594277658,0.2059414672800184,0.7233922151205741
Raw-OptBlend Best5+Odds,0.6778332234420896,0.5974520964732951,0.2058029425716591,0.7247188472512898
Cal-OptBlend Top50+RF+Odds,0.6791487645452939,0.5975814891956092,0.20597349508758261,0.7236267174042157
Cal-OptBlend All7+Odds,0.678605130570671,0.5977165802667536,0.2060390819099489,0.7230441320425828
Cal-OptBlend Best5+Odds,0.6804654156354975,0.5978513956835497,0.20598099754366894,0.7233570798159252
Cal-OptBlend GBM+RF+Odds,0.6812308480929918,0.5979824535448623,0.20600243653279404,0.7231415306507707
Cal-Blend RandomForest (w=0.285),0.6825399145251094,0.598082416352952,0.20604269332735947,0.7229598081090749
Cal-Blend CAT_top50 (w=0.260),0.6798806407747526,0.5982021938598445,0.20619529248446483,0.7231380892649442
Cal-OptBlend 3GBM+Odds,0.6810760891805889,0.5982651822599511,0.2060781702619734,0.7229617458941605
Raw-OptBlend Top50+RF+Odds,0.6786787176978295,0.5982948565677288,0.20640321922792457,0.7228330751449044
Cal-Blend XGBoost (w=0.245),0.6835438104549636,0.5984338069913739,0.20616701619192854,0.72326950696065
Cal-Blend CatBoost (w=0.235),0.679434438148694,0.5985738446159163,0.20615617220045532,0.7231834106808406
Cal-Blend ExtraTrees (w=0.255),0.6773458799299092,0.5986375532364866,0.20626360292748513,0.7221396263424149
Raw-OptBlend 3GBM+Odds,0.6788063950532832,0.5986948553254162,0.2060795299082564,0.7252456405689606
Raw-OptBlend GBM+RF+Odds,0.6805519521048293,0.5987036264970848,0.2060439177756549,0.7251179421591141
Cal-Blend LightGBM (w=0.230),0.6795884925002658,0.598821740428128,0.2062637615526508,0.7226516305351007
Raw-Blend CatBoost (w=0.315),0.6793164727998703,0.5989042632137263,0.20616696345421381,0.7246880836871941
Cal-Blend XGB_top50 (w=0.190),0.6824392458410017,0.599061404020758,0.20634482570413137,0.7227569953348734
Cal-Blend LGB_top50 (w=0.175),0.6812471076563119,0.5992032690543012,0.20645164305815267,0.7229634444125053
Raw-Blend CAT_top50 (w=0.235),0.6797529634192989,0.5992239446097986,0.2063628621014772,0.7237424483050952
Raw-Blend XGBoost (w=0.220),0.6816532793832479,0.599347872421442,0.2062869037368097,0.7235242018441154
Raw-Blend RandomForest (w=0.185),0.6791855581088732,0.5995888220686714,0.20647034034325157,0.7223727710685613
Raw-Blend LogReg (w=0.065),0.6774162297215245,0.5995967245061906,0.20650547296610294,0.7223928012065871
Raw-Blend LightGBM (w=0.145),0.6790914369814554,0.5996679901434077,0.20650725319109062,0.7227359963582942
Raw-Blend LGB_top50 (w=0.110),0.6810555551803297,0.599763697785676,0.20656018007313842,0.7223829312906695
Cal-Blend LogReg (w=0.030),0.6787458301539014,0.5998274576674105,0.20658875639253937,0.7222331840424738
Raw-Blend ExtraTrees (w=0.055),0.6793803479203988,0.599856717683453,0.20658588142619594,0.7219181583603049
Raw-Blend XGB_top50 (w=0.055),0.6774735572853632,0.5998569793142579,0.2065763816717269,0.7221818266047061
Odds Implied,0.6800148656868963,0.5998911292006616,0.20662890475015866,0.7221601471181959
CatBoost,0.6732206534864877,0.6034355512412106,0.20801136082806262,0.7217341654400548
RandomForest,0.6736029809920178,0.6047139546110878,0.20843679012268096,0.7214241819035399
XGBoost,0.6777524570830131,0.6053408950765755,0.20856601186096668,0.7226054074652979
CAT_top50,0.6786996571242567,0.6063037711421135,0.20932195586316474,0.7168338928450418
LightGBM,0.6747346271629289,0.6068505313907256,0.20949451081006532,0.7165585488926183
XGB_top50,0.674243973429602,0.6076389099185314,0.20944770984351635,0.7197999615831173
LGB_top50,0.6695914454604805,0.6077564639775958,0.21001976932840855,0.7130514944712003
ExtraTrees,0.6824489578476317,0.6081910615608588,0.20971699168047414,0.7201678568222438
LogReg,0.6346406850304049,0.6760014694543748,0.2334599334872612,0.6822386180212412
