Model,Accuracy,Log Loss,Brier,AUC
"Cal-OptBlend All19+Odds (XGBoost=0.556, LightGBM=-0.192, CatBoost=-0.171, LogReg=-0.009, XGB_top50=-0.325, LGB_top50=-0.272, CAT_top50=0.163, CAT_top30=-0.153, RandomForest=0.120, ExtraTrees=0.079, XGB_NoOdds=0.192, CAT_NoOdds=-0.297, LGB_NoOdds=0.080, XGB_V5tune=0.163, CAT_V5tune=0.250, HistGBM=-0.050, XGB_Recent=-0.262, CAT_Recent=0.200, RF_NoOdds=0.078, odds=0.848)",0.6879518785924099,0.59140671402547,0.20403822891833923,0.7262393969626064
"Cal-OptBlend All13+Odds (XGBoost=0.597, LightGBM=-0.142, CatBoost=-0.151, LogReg=-0.014, XGB_top50=-0.315, LGB_top50=-0.280, CAT_top50=0.182, CAT_top30=-0.130, RandomForest=0.186, ExtraTrees=0.103, XGB_NoOdds=0.230, CAT_NoOdds=-0.214, LGB_NoOdds=0.054, odds=0.895)",0.6835200391191609,0.5927043816676838,0.20475454821975786,0.7241313022906513
"Cal-OptBlend All9+Odds (XGBoost=0.564, LightGBM=-0.096, CatBoost=-0.167, LogReg=-0.004, XGB_top50=-0.287, LGB_top50=-0.309, CAT_top50=0.172, RandomForest=0.181, ExtraTrees=0.089, odds=0.856)",0.6853629546336683,0.5938249744843918,0.20502117176525314,0.7239880416285456
"Cal-OptBlend Best5+Odds (XGBoost=0.561, CatBoost=-0.147, XGB_top50=-0.256, LGB_top50=-0.282, RandomForest=0.253, odds=0.872)",0.6827307624402605,0.5942040490971093,0.20520542707915468,0.7236640039410441
"Platt-OptBlend All19+Odds (XGBoost=0.882, LightGBM=0.113, CatBoost=-0.055, LogReg=-0.010, XGB_top50=-1.000, LGB_top50=-0.254, CAT_top50=0.738, CAT_top30=-0.127, RandomForest=0.505, ExtraTrees=-0.758, XGB_NoOdds=-0.445, CAT_NoOdds=0.293, LGB_NoOdds=-0.105, XGB_V5tune=0.101, CAT_V5tune=-0.179, HistGBM=-0.302, XGB_Recent=0.183, CAT_Recent=-0.089, RF_NoOdds=0.500, odds=1.010)",0.6924464831991882,0.5942414564418228,0.20458979112617096,0.7267323609863401
"Raw-OptBlend All19+Odds (XGBoost=0.751, LightGBM=0.105, CatBoost=-0.121, LogReg=-0.054, XGB_top50=-1.000, LGB_top50=-0.262, CAT_top50=0.692, CAT_top30=-0.108, RandomForest=0.391, ExtraTrees=-0.582, XGB_NoOdds=-0.396, CAT_NoOdds=0.125, LGB_NoOdds=-0.125, XGB_V5tune=0.245, CAT_V5tune=-0.116, HistGBM=-0.185, XGB_Recent=0.030, CAT_Recent=0.011, RF_NoOdds=0.633, odds=0.966)",0.6836909847092807,0.5945021178950445,0.20457529476192715,0.728193958451745
"Platt-OptBlend All13+Odds (XGBoost=0.728, LightGBM=-0.081, CatBoost=-0.212, LogReg=-0.041, XGB_top50=-1.000, LGB_top50=-0.248, CAT_top50=0.699, CAT_top30=-0.166, RandomForest=0.606, ExtraTrees=-0.449, XGB_NoOdds=-0.098, CAT_NoOdds=0.361, LGB_NoOdds=-0.100, odds=1.001)",0.6855004168813552,0.5955568871307347,0.20515308789250716,0.7257094025716209
"Raw-OptBlend All13+Odds (XGBoost=0.674, LightGBM=-0.077, CatBoost=-0.164, LogReg=-0.061, XGB_top50=-0.929, LGB_top50=-0.246, CAT_top50=0.641, CAT_top30=-0.124, RandomForest=0.453, ExtraTrees=-0.262, XGB_NoOdds=-0.014, CAT_NoOdds=0.214, LGB_NoOdds=-0.066, odds=0.958)",0.6898478472338163,0.595723339255128,0.20513688469891406,0.7254859461505005
"Cal-OptBlend Diverse7+Odds (XGBoost=0.410, CatBoost=-0.326, HistGBM=-0.151, RandomForest=0.071, XGB_V5tune=0.076, CAT_V5tune=0.096, RF_NoOdds=0.063, odds=0.761)",0.6829724632481634,0.5959419516958456,0.2053265149863696,0.7238802328336971
"Raw-OptBlend All9+Odds (XGBoost=0.702, LightGBM=-0.100, CatBoost=-0.154, LogReg=-0.060, XGB_top50=-1.000, LGB_top50=-0.249, CAT_top50=0.598, RandomForest=0.462, ExtraTrees=-0.072, odds=0.872)",0.6854062228683342,0.5960450766694488,0.2052619169247271,0.7262496498028258
"Platt-OptBlend All9+Odds (XGBoost=0.677, LightGBM=-0.105, CatBoost=-0.178, LogReg=-0.028, XGB_top50=-1.000, LGB_top50=-0.252, CAT_top50=0.590, RandomForest=0.650, ExtraTrees=-0.307, odds=0.953)",0.68476523043075,0.5961786448936979,0.20544230915922457,0.7255910222188435
"Cal-OptBlend 3GBM+Odds (XGBoost=0.571, LightGBM=-0.246, CatBoost=-0.147, odds=0.822)",0.6836037436791175,0.5962039970626224,0.20545843165039596,0.7224318289868683
"Cal-OptBlend Recent+Std+Odds (XGBoost=0.455, CatBoost=-0.290, XGB_Recent=-0.199, CAT_Recent=0.071, RandomForest=0.219, odds=0.744)",0.6755163191837434,0.5963374554748224,0.2055450858312532,0.7238971600837176
"Cal-OptBlend GBM+RF+Odds (XGBoost=0.411, CatBoost=-0.324, RandomForest=0.163, odds=0.750)",0.6811327850691995,0.5966600521312864,0.205705535702855,0.7236417539481748
"Platt-OptBlend Best5+Odds (XGBoost=0.789, CatBoost=-0.161, XGB_top50=-0.911, LGB_top50=-0.080, RandomForest=0.462, odds=0.900)",0.6810252362878371,0.5974191891758902,0.20594895389208587,0.723640961178965
"Cal-OptBlend NoOdds4+Odds (XGB_NoOdds=0.281, CAT_NoOdds=-0.270, LGB_NoOdds=-0.075, RF_NoOdds=0.176, odds=0.888)",0.679209402330279,0.598061372455958,0.20597011654312947,0.7235263878052842
"Raw-OptBlend Best5+Odds (XGBoost=0.455, CatBoost=0.078, XGB_top50=-0.764, LGB_top50=-0.053, RandomForest=0.406, odds=0.877)",0.6780139539244427,0.5981546029708382,0.20626980789877786,0.7229620809684809
"Platt-OptBlend Diverse7+Odds (XGBoost=0.477, CatBoost=-0.081, HistGBM=-0.303, RandomForest=0.223, XGB_V5tune=0.077, CAT_V5tune=-0.340, RF_NoOdds=0.062, odds=0.885)",0.6861521584269654,0.5983237801397663,0.20578943043561782,0.7227828961822995
"Raw-OptBlend Diverse7+Odds (XGBoost=-0.075, CatBoost=0.194, HistGBM=-0.135, RandomForest=0.379, XGB_V5tune=0.259, CAT_V5tune=-0.347, RF_NoOdds=-0.065, odds=0.791)",0.6842951835832856,0.5988730750532222,0.2060383789501169,0.7239572038353079
"Platt-OptBlend NoOdds4+Odds (XGB_NoOdds=-0.332, CAT_NoOdds=0.361, LGB_NoOdds=-0.252, RF_NoOdds=0.309, odds=0.915)",0.6807802981443909,0.5990095235620301,0.2061958496716057,0.7235130530251754
