Model,Accuracy,Log Loss,Brier,AUC
"Raw-OptBlend All7+Odds (XGBoost=0.844, LightGBM=-0.073, CatBoost=-0.389, LogReg=-0.018, XGB_top40=-1.290, CAT_top40=0.436, RandomForest=0.614, odds=0.876)",0.6812507504180232,0.5966650608744577,0.20554398702888127,0.7253448218747927
"Cal-OptBlend All7+Odds (XGBoost=0.458, LightGBM=-0.052, CatBoost=-0.165, LogReg=-0.055, XGB_top40=-0.208, CAT_top40=-0.054, RandomForest=0.235, odds=0.842)",0.6783129822961842,0.5966719651066628,0.2056592938181926,0.7232297927078807
"Cal-OptBlend Best4+Odds (XGBoost=0.387, CatBoost=-0.242, CAT_top40=-0.095, RandomForest=0.148, odds=0.802)",0.6792028547735892,0.5972662030024787,0.20574858316073824,0.7234604240646525
"Cal-OptBlend GBM+RF+Odds (XGBoost=0.359, CatBoost=-0.278, RandomForest=0.126, odds=0.793)",0.6818014907389609,0.5973489197000392,0.20574768119097367,0.7229019546693146
"Cal-OptBlend 3GBM+Odds (XGBoost=0.466, LightGBM=-0.075, CatBoost=-0.211, odds=0.821)",0.681197291864956,0.5974046686839573,0.2056764192844658,0.7239750846902715
Cal-Blend XGBoost (w=0.285),0.6805022091990767,0.5981281804403338,0.20596750164594493,0.7239262852051018
Cal-Blend RandomForest (w=0.245),0.6779641381330868,0.598598249842903,0.20624976495219371,0.722825802916207
"Raw-OptBlend Top40+Odds (XGB_top40=-0.331, CAT_top40=0.356, odds=0.974)",0.6829287895873295,0.5991075646655392,0.20649639581890122,0.7227759223472163
"Cal-OptBlend Top40+Odds (XGB_top40=0.133, CAT_top40=0.032, odds=0.835)",0.6809484118251352,0.5993216839900943,0.20639867388021998,0.7228425950454243
Cal-Blend XGB_top40 (w=0.155),0.6809852053887144,0.5993321250896884,0.20640526771631917,0.7226975140472188
"Raw-OptBlend Best4+Odds (XGBoost=0.056, CatBoost=-0.235, CAT_top40=0.165, RandomForest=0.175, odds=0.838)",0.6836541911457014,0.5994557744620153,0.20642367307448606,0.72240156974905
Cal-Blend CAT_top40 (w=0.130),0.6856518655726116,0.599497575413399,0.20646403796544482,0.722344437373795
"Raw-OptBlend GBM+RF+Odds (XGBoost=0.095, CatBoost=-0.144, RandomForest=0.193, odds=0.856)",0.6785478030068324,0.5995887824477428,0.20644171118633298,0.7223211122103745
"Raw-OptBlend 3GBM+Odds (XGBoost=0.282, LightGBM=-0.115, CatBoost=-0.067, odds=0.900)",0.6786386867987069,0.599590788668659,0.20635998144448994,0.7234256612996921
Raw-Blend CAT_top40 (w=0.135),0.6816933102823705,0.5996619456202943,0.2065348437169057,0.7225668199134945
Raw-Blend RandomForest (w=0.160),0.6792223516724525,0.5996659236368928,0.20650966744663207,0.7224365830058591
Raw-Blend XGBoost (w=0.135),0.6804210374138322,0.5996983878684774,0.20647443034964227,0.7229171043253448
Cal-Blend CatBoost (w=0.085),0.679346791692363,0.5997401853089185,0.20656019869158296,0.7221861784304333
Cal-Blend LightGBM (w=0.075),0.6798536321034065,0.599751968704791,0.20660980467380663,0.7221545232167633
Raw-Blend CatBoost (w=0.065),0.6787458301539014,0.5998427428596123,0.20659873136022447,0.7220539321337264
Raw-Blend LightGBM (w=0.040),0.6779836350319501,0.5998707447657534,0.20662244882710334,0.7221624517966659
Raw-Blend LogReg (w=0.010),0.6787458301539014,0.5998864804508292,0.2066290664098272,0.7217240954721439
Odds Implied,0.6800148656868963,0.5998911292006616,0.20662890475015866,0.7221601471181959
Raw-Blend XGB_top40 (w=0.005),0.6793803479203988,0.5998960566255847,0.20662830303058158,0.7221835325961008
Cal-Blend LogReg (w=0.005),0.6793803479203988,0.5999330395517548,0.2066397708534483,0.7220211396086014
WF-OptBlend WF-All7+Odds,0.6846375530752962,0.6015403603995493,0.20752596233658288,0.7194954651910839
WF-OptBlend WF-Best4+Odds,0.6830900231708192,0.6015503936494142,0.2072339392988805,0.7203606412269181
WF-OptBlend WF-3GBM+Odds,0.6841642688922884,0.6015520919231276,0.2071201439500614,0.7212552971030284
RandomForest,0.6768891878507863,0.6050200260613493,0.20861876594864676,0.7205792228417163
XGBoost,0.6733411516100235,0.6067475155785343,0.20913893543183804,0.7195564545228295
CatBoost,0.6657367961898906,0.6092685258591489,0.21040028301307923,0.715198574350721
CAT_top40,0.6730554780066235,0.6092719474941106,0.21034826400095857,0.7149440337808767
Stacking (LR-Best4+Odds -> LR),0.6665639035337662,0.6094070056119587,0.21039262118141422,0.7220865307041393
LightGBM,0.6626691504784502,0.6099180534098865,0.21090687221299048,0.7145853908976534
XGB_top40,0.6730799539032573,0.6100122178216802,0.21057898737490177,0.7154618373015447
Stacking (LR-All+Odds -> LR),0.6645423848854501,0.610799207263423,0.21105228921803382,0.7206383904563922
LogReg,0.6419792691721692,0.6870720056052073,0.23743479878283769,0.6693533429471994
